page_id,page_title,page_views,intro_text
262933,Electronic Arts,38521,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive and Ubisoft as of March 2018. Founded and incorporated on May 27, 1982, by Apple employee Trip Hawkins, the company was a pioneer of the early home computer games industry and was notable for promoting the designers and programmers responsible for its games. EA published numerous games and productivity software for personal computers and later experimented on techniques to internally develop games, leading to the 1987 release of Skate or Die!. The company would later decide in favor of abandoning their original principles and acquiring smaller companies that they see profitable, as well as annually releasing franchises to stay profitable. Currently, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Titanfall, and Star Wars, as well as the EA Sports titles FIFA, Madden NFL, NBA Live, NHL, and EA Sports UFC. Their desktop titles appear on self-developed Origin, an online gaming digital distribution platform for PCs and a direct competitor to Valve's Steam and Epic Games' Epic Games Store. EA also owns and operates major gaming studios such as EA Tiburon in Orlando, EA Vancouver in Burnaby, DICE in Sweden and Los Angeles, BioWare in Edmonton and Austin, and Respawn Entertainment in Los Angeles."
268993,MGM Resorts International,10314,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, Detroit, Mississippi, Maryland, and New Jersey, including Bellagio, Mandalay Bay, MGM Grand, and Park MGM. In January 2019 the company took over Empire City Casino in Yonkers, NY and also recently opened MGM National Harbor in Maryland and MGM Springfield in Massachusetts. It has a majority interest in MGM China Holdings Limited, which owns the MGM Macau resort and casino, and is developing a gaming resort in Cotai. MGM Resorts owns 50 percent of CityCenter in Las Vegas, which features Aria Resort & Casino. It has a majority controlling interest in MGM Growth Properties, a real estate investment trust. The company began operations in 1987 as MGM Grand, Inc. and became MGM Mirage in 2000, after acquiring Mirage Resorts. In the mid-2000s, growth of its non-gaming (lodging, food, retail) revenue began to outpace gaming receipts and demand for high-rise condominiums was surging, with median property prices in Las Vegas twice the national average. The company shifted its focus from owning and operating resorts and casinos, to developing and building real estate in the leisure and gaming industry—launching the massive CityCenter mixed-use project, which was at the time of its construction the world's largest construction site and ranks as one of the most expensive real estate projects in history. City Center's development coincided with the global financial crisis, causing writedowns in its valuation. In June 2010, the company changed to its present name to reflect its latest strategy of expanding worldwide, including licensing its brand and expertise to develop non-gaming hotels and residences. Billionaire investor Kirk Kerkorian and his Tracinda Corporation were, until 2009, the majority shareholders of MGM Mirage; Kerkorian was the former owner of the Metro-Goldwyn-Mayer movie studio, from which MGM Grand derived its name. Following a one-billion-dollar stock offering by MGM Mirage amidst the global credit crunch, Tracinda's shares were diluted from 53.8 percent to 39 percent. On June 15, 2010, shareholders voted for MGM Mirage to change its name to ""MGM Resorts International"", which emphasizes the brand's global scope and increased non-gaming strategy. In 2013, MGM won state licenses to build a $1-billion resort in National Harbor, Maryland and a $950-million resort in downtown Springfield, Massachusetts. In May 2014, MGM broke ground on a $375-million arena on the Las Vegas Strip with sports and entertainment company AEG. MGM Resorts is the majority owner of MGM Growth Properties, a real estate investment trust that owns twelve casino properties and leases them to MGM Resorts. It became a separate, publicly traded company in April 2016. Among the company's management ranks, more than 38 percent are minorities and nearly 43 percent are women."
277347,Sallie Mae,5156,"SLM Corporation (commonly known as Sallie Mae; originally the Student Loan Marketing Association) is a publicly traded U.S. corporation that provides consumer banking. Its nature has changed dramatically since it was set up in 1973. At first, it was a government entity that serviced federal education loans. It then became private and started offering private student loans, although at one point it had a contract to service federal loans. The company's primary business is creating, servicing, and collecting private education loans. The company also provides college savings tools such as its Upromise Rewards business and online planning for college tools and resources. Sallie Mae previously originated federally guaranteed student loans originated under the Federal Family Education Loan Program (FFELP). and worked as a servicer and collector of federal student loans on behalf of the Department of Education. The company now offers private education loans and manages more than $12.97 billion in assets. Sallie Mae employs 1,400 individuals at offices across the U.S. On April 30, 2014, Sallie Mae spun off its loan servicing operation and most of its loan portfolio into a separate, publicly traded entity called Navient Corporation. Navient is the largest servicer of federal student loans and acts as a collector on behalf of the Department of Education."
277872,Macy's,22598,"Macy's (originally R. H. Macy & Co., stylized as macy*s) is an American department store chain founded in 1858 by Rowland Hussey Macy. It became a division of the Cincinnati-based Federated Department Stores in 1994 (later renamed as Macy's, Inc. in 2007), as a Bloomingdale's department store chain affiliate. As of 2015, Macy's was the largest U.S. department store company by retail sales. As of February 2019, there were 584 full-line stores with the Macy's nameplate in operation throughout the United States and its territories of Puerto Rico, and Guam. Macy's Herald Square, at Herald Square in the Manhattan borough of New York City, acts as the company's flagship store. The company had 130,000 employees and earned annual revenue of $24.8 billion as of 2017. Macy's conducts the annual Macy's Thanksgiving Day Parade in New York City since 1924 and sponsors the city's annual Fourth of July fireworks display since 1976. Macy's Herald Square is one of the largest department stores in the world. The flagship store covers almost an entire New York City block, features about 1.1 million square feet of retail space, includes additional space for offices and storage, and serves as the endpoint for the Thanksgiving Day parade. The value of Herald Square estimates at around $3 billion."
284749,Chevron Corporation,23831,"Chevron Corporation is an American multinational energy corporation. One of the of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil, natural gas, and geothermal energy industries, including hydrocarbon exploration and ; refining, marketing and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest oil companies; , it ranked eleventh in the Fortune 500 list of the top US and 28th on the Fortune Global 500 list of the top 500 corporations worldwide. It was also one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s. Chevron is incorporated in California. Chevron's downstream operations manufacture and sell products such as fuels, lubricants, additives and petrochemicals. The company's most significant areas of operations are the west coast of North America, the U.S. Gulf Coast, Southeast Asia, South Korea and Australia . In 2010, Chevron sold an average of of refined products like gasoline, diesel and jet fuel."
289963,Archer Daniels Midland,7569,"The Archer Daniels Midland Company (ADM) is an American global food processing and commodities trading corporation, headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide. It was named the world's most-admired food-production company by Fortune magazine for three consecutive years: 2009, 2010 and 2011. ADM ranked No. 48 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. The company also provides agricultural storage and transportation services. The American River Transportation Company along with ADM Trucking, Inc., are subsidiaries of ADM."
290438,Eaton Corporation,9830,"Eaton Corporation Inc is an Irish-domiciled multinational power management company with 2018 sales of $21.6 billion, founded in the United States with corporate headquarters in Dublin, Ireland, and operational headquarters in Beachwood, Ohio. Eaton has approximately 99,000 employees and sells products to customers in more than 175 countries."
293568,International Paper,3614,"The International Paper Company () is an American pulp and paper company, the largest such company in the world. It has approximately 56,000 employees, and is headquartered in Memphis, Tennessee."
293607,Weyerhaeuser,3939,Weyerhaeuser Company is an American timberland company which owns nearly 12.4 million acres of timberlands in the U.S. and managing additional 14.0 million acres timberlands under long-term licenses in Canada. The company also manufactures wood products. Weyerhaeuser is a real estate investment trust.
299134,Accenture,49456,"Accenture plc, stylised as accent͐ure, is an Irish-domiciled multinational professional services company that provides services in strategy, consulting, digital, technology and operations. A Fortune Global 500 company, it has been incorporated in Dublin, Ireland since September 1, 2009. In 2019, the company reported net revenues of $43.2 billion, with more than 492,000 employees serving clients in more than 200 cities in 120 countries. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 92 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500. On July 11, 2019, Accenture appointed Julie Sweet as their new Chief Executive Officer. She accepted her office on September 1, 2019."
306926,Valero Energy,3641,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States. Throughout the United States and Canada, the company owns and operates 15 refineries, and one in Wales, with a combined throughput capacity of approximately per day, 11 ethanol plants with a combined production capacity of per year, and a 50-megawatt wind farm. Before the 2013 spinoff of CST Brands, Valero was one of the United States' largest retail operators with approximately 6,800 retail and branded wholesale outlets in the United States, Canada, United Kingdom, and the Caribbean under the Valero, Diamond Shamrock, Shamrock, Ultramar, Beacon, and Texaco brands."
309948,Citrix Systems,17274,"Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies. Citrix solutions are claimed to be in use by over 400,000 clients worldwide, including 99% of the Fortune 100, and 98% of the Fortune 500. The company was founded in Richardson, Texas in 1989 by Ed Iacobucci, who served as chairman until his departure in 2000. It began by developing remote access products for Microsoft operating systems, licensing source code from Microsoft, and has been in partnership with the company throughout its history. By the 1990s, Citrix came to prominence as an industry leader in thin client technology, enabling purpose-built devices to access remote servers and resources. The company launched its first initial public offering in 1995 and, with few competitors, experienced large revenue increases between 1995 and 1999. Citrix acquired Sequoia Software Corp. in 2001 and ExpertCity, a provider of remote desktop products, in 2003. This was followed by more than a dozen other acquisitions from 2005 to 2012, which allowed Citrix to expand into server and desktop virtualization, cloud computing, Infrastructure as a Service, and Software as a Service offerings. In 2014, Citrix acquired Framehawk and used its technology to improve the delivery of virtual desktops and applications over wireless networks. In 2016, as part of a US$1.8 billion product deal with LogMeIn, Citrix spun off the GoTo product line into a new business entity, entitled GetGo. In 2017, Citrix completed the merger of GetGo with LogMeIn's products. Citrix has corporate headquarters in both Fort Lauderdale, Florida and Santa Clara, California, with subsidiary operations in California and Massachusetts, and additional development centers in Australia, Canada, Denmark, Germany, India, and the United Kingdom. Citrix in January 2018 reported revenue from continuing operations of $2.82 billion for fiscal year 2017, compared to $2.74 billion for fiscal year 2016, a 3% increase. As of April 2017, the company employed approximately 8,100 employees worldwide."
312018,VMware,30605,"VMware, Inc. is a publicly traded software company listed on the NYSE under stock ticker VMW. Dell Technologies is a majority share holder. VMware provides cloud computing and virtualization software and services. It was one of the first commercially successful companies to virtualize the x86 architecture. VMware's desktop software runs on Microsoft Windows, Linux, and macOS, while its enterprise software hypervisor for servers, VMware ESXi, is a bare-metal hypervisor that runs directly on server hardware without requiring an additional underlying operating system."
314333,Berkshire Hathaway,66082,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, and NetJets, and also owns 38.6% of Pilot Flying J; 26.7% of the Kraft Heinz Company, and significant minority holdings in American Express (17.6%), Wells Fargo (9.9%), The Coca-Cola Company (9.4%), Bank of America (6.8%), and Apple (5.22%). Since 2016, the company has acquired large holdings in the major US airline carriers, and is currently the largest shareholder in United Airlines and Delta Air Lines, and a top three shareholder in Southwest Airlines and American Airlines. Berkshire Hathaway has averaged an annual growth in book value of 19.0% to its shareholders since 1965 (compared to 9.7% from the S&P 500 with dividends included for the same period), while employing large amounts of capital, and minimal debt. The company is known for its control and leadership by Warren Buffett, who serves as chairman and chief executive, and Charlie Munger, the company's vice-chairman. In the early part of his career at Berkshire, Buffett focused on long-term investments in publicly traded companies, but more recently he has more frequently bought whole companies. Berkshire now owns a diverse range of businesses including confectionery, retail, railroads, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, newspaper publishing, manufacture and distribution of uniforms, and several regional electric and gas utilities. According to the Forbes Global 2000 list and formula, Berkshire Hathaway is the third largest public company in the world, the tenth largest conglomerate by revenue and the largest financial services company by revenue in the world. As of February 2019, Berkshire is the fifth-largest company in the S&P 500 Index by market capitalization and is famous for having the most expensive share price in history with Class A shares costing around $300,000 each. This is because there has never been a stock split in its Class A shares and Buffett stated in a 1984 letter to shareholders that he does not intend to split the stock."
319632,Verisign,10011,"Verisign, Inc. is an American company based in Reston, Virginia, United States that operates a diverse array of network infrastructure, including two of the Internet's thirteen root nameservers, the authoritative registry for the , , and generic top-level domains and the and country-code top-level domains, and the back-end systems for the , , and top-level domains. Verisign also offers a range of security services, including managed DNS, distributed denial-of-service (DDoS) attack mitigation and cyber-threat reporting. In 2010, Verisign sold its authentication business unit – which included Secure Sockets Layer (SSL) certificate, public key infrastructure (PKI), Verisign Trust Seal, and Verisign Identity Protection (VIP) services – to Symantec for $1.28 billion. The deal capped a multi-year effort by Verisign to narrow its focus to its core infrastructure and security business units. Symantec later sold this unit to DigiCert in 2017. Verisign's former chief financial officer (CFO) Brian Robins announced in August 2010 that the company would move from its original location of Mountain View, California, to Dulles in Northern Virginia by 2011 due to 95% of the company's business being on the East Coast. The company is incorporated in Delaware."
319730,ConocoPhillips,6626,"ConocoPhillips is an American multinational energy corporation with its headquarters located in the Energy Corridor district of Houston, Texas in the United States. It is the world's largest independent pure-play exploration and production company and the company ranked No. 95 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. ConocoPhillips was created through the merger of American oil companies Conoco Inc. and Phillips Petroleum Co. on August 30, 2002. In 2012, ConocoPhillips spun off its downstream assets as a new, separate company, Phillips 66."
325854,Stryker,13034,"The IAV (Interim Armored Vehicle) Stryker is a family of eight-wheeled armored fighting vehicles derived from the Canadian LAV III. Stryker vehicles are produced by General Dynamics Land Systems Canada for the United States Army. It has 4-wheel drive (8×4) and can be switched to all-wheel drive (8×8). The vehicle is named for two unrelated U.S. soldiers who posthumously received the Medal of Honor: Private First Class Stuart S. Stryker, who died in World War II, and Specialist Four Robert F. Stryker, who died in the Vietnam War."
326512,American Express,40145,"The American Express Company, also known as Amex, is an American multinational financial services corporation headquartered in Three World Financial Center in New York City. The company was founded in 1850 and is one of the 30 components of the Dow Jones Industrial Average. The company is best known for its charge card, credit card, and traveler's cheque businesses. In 2016, credit cards using the American Express network accounted for 22.9% of the total dollar volume of credit card transactions in the United States. , the company had 114.0million cards in force, including 53.7million cards in force in the United States, each with an average annual spending of $19,340. In 2017, Forbes named American Express as the 23rd most valuable brand in the world (and the highest within financial services), estimating the brand to be worth US$24.5billion. In 2018, Fortune ranked American Express as the 14th most admired company worldwide, and the 23rd best company to work for. The company's logo, adopted in 1958, is a gladiator or centurion whose image appears on the company's traveler's cheques, charge cards and credit cards."
335244,Goldman Sachs,48895,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. The bank is one of the largest investment banking enterprises in the world, and is a primary dealer in the United States Treasury security market and more generally, a prominent market maker. The group also owns Goldman Sachs Bank USA, a direct bank. Goldman Sachs was founded in 1869 and is headquartered at 200 West Street in Lower Manhattan with additional offices in other international financial centers. As a result of its involvement in securitization during the subprime mortgage crisis, Goldman Sachs suffered during the financial crisis of 2007–2008, and received a $10 billion investment from the United States Department of the Treasury as part of the Troubled Asset Relief Program, a financial bailout created by the Emergency Economic Stabilization Act of 2008. The investment was made in November 2008 and was repaid in June 2009. Former employees of Goldman Sachs have moved on to government positions. Notable examples includes former U.S. Secretaries of the Treasury Robert Rubin and Henry Paulson; current United States Secretary of the Treasury Steven Mnuchin; former Under Secretary of State John C. Whitehead; former chief economic advisor Gary Cohn; United States Senator and former Governor of New Jersey Jon Corzine; former Prime Minister of Italy Mario Monti; European Central Bank President Mario Draghi; former Bank of Canada Governor and current Governor of the Bank of England Mark Carney; and the former Prime Minister of Australia Malcolm Turnbull. In addition, former Goldman employees have headed the New York Stock Exchange, the World Bank, and competing banks such as Citigroup and Merrill Lynch. The company is ranked 62nd on the Fortune 500 list of the largest United States corporations by total revenue."
338334,Aflac,4904,"Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia. In the U.S., Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide"". In 2009, Aflac acquired Continental American Insurance Company for $100 million; this enabled Aflac to sell supplemental insurance on both the individual and group platform. , Aflac was represented by approximately 19,300 sales agencies in Japan, and 76,900 licensed sales associates in the U.S."
342837,Corning Inc.,6721,"Corning Incorporated is an American multinational technology company that specializes in specialty glass, ceramics, and related materials and technologies including advanced optics, primarily for industrial and scientific applications. The company was named Corning Glass Works until 1989. Corning divested its consumer product lines (including CorningWare and Visions Pyroceram-based cookware, Corelle Vitrelle tableware, and Pyrex glass bakeware) in 1998 by selling the Corning Consumer Products Company subsidiary (now known as Corelle Brands) to Borden, but still holds an interest of about 8 percent. , Corning had five major business sectors: display technologies, environmental technologies, life sciences, optical communications, and specialty materials. Corning is involved in two joint ventures: Dow Corning and Pittsburgh Corning. Quest Diagnostics and Covance were spun off from Corning in 1996. Corning is one of the main suppliers to Apple Inc. since working with Steve Jobs in 2007 to develop the iPhone; Corning develops and manufactures Gorilla Glass, which is used by many smartphone makers. It is one of the world's biggest glassmakers. Corning won the National Medal of Technology and Innovation four times for its product and process innovations."
347756,Bank of America,44679,"The Bank of America Corporation (abbreviated as BofA) is an American multinational investment bank and financial services company founded in San Francisco, California and based in Charlotte, North Carolina, with central hubs in New York City, London, Hong Kong, Minneapolis, and Toronto. Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase. As a part of the , it services approximately 10.73% of all American bank deposits, in direct competition with Citigroup, Wells Fargo, and JPMorgan Chase. Its primary financial services revolve around commercial banking, wealth management, and investment banking. One branch of its history stretches back to Bank of Italy, founded by Amadeo Pietro Giannini in 1904, which provided Italian immigrants who faced service discrimination various banking options. Originally headquartered in San Francisco, California, Giannini acquired Banca d'America e d'Italia (Bank of America and Italy) in 1922. The passage of landmark federal banking legislation facilitated rapid growth in the 1950s, quickly establishing a prominent market share. After suffering a significant loss after the 1998 Russian bond default, BankAmerica, as it was then known, was acquired by the Charlotte-based NationsBank for US$62 billion. Following what was then the largest bank acquisition in history, the Bank of America Corporation was founded. Through a series of mergers and acquisitions, it built upon its commercial banking business by establishing Merrill Lynch for wealth management and Bank of America Merrill Lynch for investment banking in 2008 and 2009, respectively. Since both divisions carry the ""Merrill Lynch"" signage, the former is often referred to as ""Merrill Lynch Wealth Management"" to differentiate itself from the latter. Both Bank of America, Merrill Lynch, and Merrill Lynch Wealth Management retain large market shares in their respective offerings. The investment bank is considered within the ""Bulge Bracket"" as the third largest investment bank in the world, . Its wealth management side manages US$1.081 trillion in assets under management (AUM) as the , after UBS. In commercial banking, Bank of America operates—but does not necessarily maintain retail branches—in all 50 states of the United States, the District of Columbia and more than 40 other countries. Its commercial banking footprint encapsulates 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs). The bank's large market share, business activities, and economic impact has led to numerous lawsuits and investigations regarding both mortgages and financial disclosures dating back to the 2008 financial crisis. Its corporate practices of servicing the middle class and wider banking community has yielded a substantial market share since the early 20th century. , Bank of America has a $313.5 billion market capitalization, making it the 13th largest company in the world. As the sixth largest American public company, it garnered $102.98 billion in sales . Bank of America was ranked #24 on the 2018 Fortune 500 rankings of the largest United States corporations by total revenue. Bank of America was named the ""World's Best Bank"" by the Euromoney Institutional Investor in their 2018 Awards for Excellence."
347833,Norfolk Southern Railway,5749,"The Norfolk Southern Railway is a Class I freight railroad in the United States. With headquarters in Norfolk, Virginia, the company operates route miles in 22 eastern states, the District of Columbia, and has rights in Canada over the Albany to Montréal route of the Canadian Pacific Railway, and previously on CN from Buffalo to St. Thomas. NS is responsible for maintaining , with the remainder being operated under trackage rights from other parties responsible for maintenance. The most common commodity hauled on the railway is coal from mines in Indiana, Kentucky, Pennsylvania, Tennessee, Virginia, and West Virginia. The railway also offers the largest intermodal network in eastern North America. NS is a major transporter of domestic and export coal. The railway's major sources of the mineral are located in: Pennsylvania's Cambria and Indiana counties, as well as the Monongahela Valley; West Virginia; and the Appalachia regions of Virginia, Kentucky, and Tennessee. In Pennsylvania, NS also receives coal through interchange with R.J. Corman Railroad/Pennsylvania Lines at Cresson, Pennsylvania, originating in the ""Clearfield Cluster"". NS's export of West Virginia bituminous coal begins transport on portions of the well-engineered former Virginian Railway and the former N&W double-tracked line in Eastern Virginia to its Lambert's Point coal pier on Hampton Roads at Norfolk. Coal transported by NS is thus exported to steel mills and power plants around the world. The company is also a major transporter of auto parts and completed vehicles. It operates intermodal container and TOFC (trailer on flat car) trains, some in conjunction with other railways. NS was the first railway to employ roadrailers (highway truck trailers with interchangeable wheel sets). Norfolk Southern is the namesake and leading subsidiary of Norfolk Southern Corporation, also based in Norfolk. Norfolk Southern Corporation was incorporated on July 23, 1980 in the Commonwealth of Virginia and is publicly traded on the New York Stock Exchange (NYSE) under the symbol NSC. The primary business function of Norfolk Southern Corporation is the rail transportation of raw materials, intermediate products, and finished goods across the Southeast, East, and Midwest United States. The corporation further facilitates transport to the remainder of the United States through interchange with other rail carriers while also serving overseas transport needs by serving several Atlantic and Gulf Coast ports. As of April 10, 2019, Norfolk Southern Corporation's total public stock value was slightly over $51.6 billion. On December 12, 2018, Norfolk Southern announced that it would be relocating its headquarters to Atlanta, Georgia; leaving its hometown of Norfolk after 38 years. The move is expected to be completed by the year 2021."
354414,NortonLifeLock,13927,"NortonLifeLock Inc. (; formerly known as Symantec) is an American software company headquartered in Tempe, Arizona, United States. The company provides cybersecurity software and services. NortonLifeLock is a Fortune 500 company and a member of the S&P 500 stock-market index. The company also has development centers in Pune, Chennai and Bangalore. On October 9, 2014, Symantec declared it would split into two independent publicly traded companies by the end of 2015. One company would focus on security, the other on information management. On January 29, 2016, Symantec sold its information-management subsidiary, named Veritas Technologies (which Symantec had acquired in 2004) to The Carlyle Group. The name ""Symantec"" is a portmanteau of the words ""syntax"" and ""semantics"" with ""technology"". On August 9, 2019, Broadcom Inc. announced they would be acquiring the Enterprise Security software division of Symantec for $10.7 billion, after having attempted to purchase the whole company. The sale closed November 4, 2019, and subsequently the company adopted the NortonLifeLock name."
354987,Best Buy,19925,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. In 1983, it was re-branded under its current name with an emphasis placed on consumer electronics. Best Buy operates internationally in Canada and Mexico, and formerly operated in China until February 2011 (when the faction was merged with Five Star). The company also operated in Europe until 2012. Its subsidiaries include Geek Squad, Magnolia Audio Video, and Pacific Sales. Best Buy also operates the Best Buy Mobile and Insignia brands in North America, plus Five Star in China. Best Buy sells cellular phones from Verizon Wireless, AT&T Mobility, Sprint Corporation in the United States. In Canada, carriers include Bell Mobility, Rogers Wireless, Telus Mobility, their fighter brands, and competing smaller carriers, such as SaskTel. Best Buy was named ""Company of the Year"" by Forbes magazine in 2004, ""Specialty Retailer of the Decade"" by Discount Store News in 2001, ranked in the Top 10 of ""America's Most Generous Corporations"" by Forbes in 2005 (based on 2004 giving), made Fortune magazine's list of ""Most Admired Companies"" in 2006. and ""The Most Sustainable Company in the United States"" by Barron's in 2019. Hubert Joly is executive chairman of Best Buy, having been succeeded as CEO by Corie Barry in June 2019. According to Yahoo! Finance, Best Buy is the largest specialty retailer in the United States consumer electronics retail industry. The company ranked No. 72 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
358390,Take-Two Interactive,20973,"Take-Two Interactive Software, Inc. is an American video game holding company based in New York City. The company owns two major publishing labels, Rockstar Games and 2K, which operate internal game development studios. Take-Two's portfolio includes numerous successful video game series across personal computer and video game consoles, including BioShock, Borderlands, Civilization, Grand Theft Auto, NBA 2K, Red Dead, and XCOM. As of March 2018, it is the third-largest publicly traded game company in the Americas and Europe after Activision Blizzard and Electronic Arts, with an estimated market cap of . Take-Two was founded by Ryan Brant in September 1993, looking to become a major publisher in the video game area. The company went public in April 1997, and later acquired the publisher and developer behind Grand Theft Auto, through which it formed Rockstar Games and Rockstar North, respectively, and also leading to their long-standing ""label"" structure. From 2003 to 2005, the company fell under investigation by the Security and Exchange Commission related to corporate and personal financial fraud after going public that led to Brant resigning by 2006 alongside the departures of other former executives and board members. As a result of this mismanagement, the company's majority shareholders led a takeover of Take-Two in March 2007, replacing them with Strauss Zelnick as the new Chairman and CEO. Take-Two subsequently rejected a buy-out from Electronic Arts in 2008. Since then, the company has continued to grow through acquisitions and creation of new studios. More recently, Take-Two created the label Private Division to support publishing from independent developers, and acquired the developer Social Point to establish itself in the mobile game market. The company also owns 50% of professional esports organization NBA 2K League."
359885,Paccar,11185,"PACCAR Inc is an American Fortune 500 company and counts among the manufacturers of medium- and heavy-duty commercial vehicles in the world. PACCAR is engaged in the design, manufacture and customer support of light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt, Leyland Trucks and DAF nameplates. PACCAR also designs and manufactures diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business."
367762,Kroger,21407,"The Kroger Co., or simply Kroger, is an American retailing company founded by Bernard Kroger in 1883 in Cincinnati, Ohio. It is the United States' largest supermarket chain by revenue ($115.34 billion for fiscal year 2016), the second-largest general retailer (behind Walmart) and the seventeenth largest company in the United States. Kroger is also the and the fourth largest American-owned private employer in the United States. Kroger is ranked #17 on the Fortune 500 rankings of the largest United States corporations by total revenue. , Kroger operates, either directly or through its subsidiaries, 2,759 supermarkets and multi-department stores. Kroger's headquarters are in downtown Cincinnati. It maintains markets in 35 states and the District of Columbia, with store formats that include hypermarkets, supermarkets, superstores, department stores, and 251 jewelry stores (782 convenience stores were sold to EG Group in 2018). Kroger-branded grocery stores are located in the Midwestern and Southern United States. Kroger operates 35 food processing or manufacturing facilities, 1,556 supermarket fuel centers, 2,264 pharmacies and 221 The Little Clinic in-store medical clinics. Kroger's employees are mostly represented by collective bargaining agreements and many are represented by the United Food and Commercial Workers (UFCW) union."
367810,Dollar General,10710,"Dollar General Corporation is an American chain of variety stores headquartered in Goodlettsville, Tennessee. As of July 2018, Dollar General operates 15,000 stores in the continental United States. The company began in 1939 as a family-owned business called J.L. Turner and Son in Scottsville, Kentucky, owned by James Luther Turner and Cal Turner. In 1955, the name changed to Dollar General Corporation and in 1968 the company went public on the New York Stock Exchange. Fortune 500 recognized Dollar General in 1999 and in 2018 reached #123. Dollar General has grown to become one of the most profitable stores in the rural United States with revenue reaching around $21 billion in 2017."
374328,JetBlue,20343,"JetBlue Airways Corporation, stylized as jetBlue, is a major American low cost airline, and the seventh largest in the United States by passengers carried. JetBlue Airways is headquartered in the Long Island City neighborhood of the New York City borough of Queens, with its main base at John F. Kennedy International Airport (JFK). It also maintains corporate offices in Cottonwood Heights, Utah and Orlando, Florida. In 2019, it ranked financially on the Fortune 500 list of the largest United States corporations by total revenue. JetBlue operates over 1,000 flights daily and serves 102 domestic and international network destinations in the U.S., Mexico, the Caribbean, Central America and South America. JetBlue is not a member of any of the three major airline alliances, but it has codeshare agreements with 21 airlines, including member airlines of Oneworld, SkyTeam, Star Alliance, and unaffiliated airlines."
378791,Mastercard,17641,"Mastercard Incorporated (stylized as MasterCard from 1979 to 2016 and mastercard from 2016) is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York, United States. The Global Operations Headquarters is located in O'Fallon, Missouri, United States, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card issuing banks or credit unions of the purchasers who use the ""Mastercard"" brand debit, credit and prepaid to make purchases. Mastercard Worldwide has been a publicly traded company since 2006. Prior to its initial public offering, Mastercard Worldwide was a cooperative owned by the more than 25,000 financial institutions that issue its branded cards. Mastercard, originally known as ""Interbank"" from 1966 to 1969 and ""Master Charge"" from 1969 to 1979, was created by an alliance of several regional bankcard associations in response to the BankAmericard issued by Bank of America, which later became the Visa credit card issued by Visa Inc."
380532,Biogen,11682,"Biogen Inc. (previously known as Biogen Idec) is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide."
